order_id,student_id,timestamp,courses,n_courses,order_revenue,is_bundle,order_number,is_repeat_order,days_since_previous_order
0,1,2026-09-04 19:30:57,Аналитика старт,1,8950.0,False,1,False,
1,2,2026-09-05 16:22:48,ML про,1,8950.0,False,1,False,
2,3,2026-09-03 22:47:02,АВ тестам,1,5975.0,False,1,False,
3,4,2026-08-31 15:42:34,AI агенты,1,8950.0,False,1,False,
4,5,2026-08-22 16:19:00,ML про,1,5750.0,False,1,False,
5,6,2026-09-02 19:16:28,Аналитика про,1,8450.0,False,1,False,
6,7,2026-08-08 14:07:56,Backend старт,1,4950.0,False,1,False,
7,8,2026-08-08 16:25:39,АВ тестам | Алгоритмы,2,8990.0,True,1,False,
8,9,2026-09-03 14:55:45,Аналитика про,1,8950.0,False,1,False,
9,10,2026-09-06 16:25:37,Backend про,1,8450.0,False,1,False,
10,11,2026-08-27 20:09:27,ML старт,1,6975.0,False,1,False,
11,12,2026-08-09 16:52:01,Backend старт,1,6490.0,False,1,False,
12,13,2026-09-07 07:54:24,AI агенты,1,8950.0,False,1,False,
13,14,2026-08-30 23:52:21,AI агенты,1,8950.0,False,1,False,
14,15,2026-09-04 15:26:00,Аналитика про,1,8450.0,False,1,False,
15,16,2026-08-10 16:56:42,ML старт | Алгоритмы старт,2,9900.0,True,1,False,
16,17,2026-08-22 17:01:20,Алгоритмы,1,9950.0,False,1,False,
17,18,2026-09-05 14:29:29,Алгоритмы про,1,8950.0,False,1,False,
18,19,2026-08-09 11:01:50,Алгоритмы старт | Аналитика старт,2,9900.0,True,1,False,
19,20,2026-09-06 11:07:00,Аналитика про | Аналитика старт,2,14950.0,True,1,False,
20,21,2026-08-10 16:29:36,Алгоритмы старт | Аналитика старт,2,9900.0,True,1,False,
21,22,2026-09-06 14:41:56,ML про,1,8450.0,False,1,False,
22,23,2026-09-06 15:39:44,ML старт,1,2237.5,False,1,False,
23,24,2026-09-05 18:23:21,ML про,1,8950.0,False,1,False,
24,25,2026-08-30 18:34:15,ML про,1,8450.0,False,1,False,
25,26,2026-08-08 09:23:01,Backend старт,1,6490.0,False,1,False,
26,26,2026-08-31 14:03:44,Backend про | Дискретка,2,17950.0,True,2,True,23.19494212962963
27,27,2026-08-29 14:47:39,ML про,1,8950.0,False,1,False,
28,28,2026-09-04 15:15:34,Аналитика про | Аналитика старт,2,14950.0,True,1,False,
29,29,2026-08-28 18:20:56,Backend старт,1,8450.0,False,1,False,
30,30,2026-08-23 10:06:51,ML про,1,8950.0,False,1,False,
31,31,2026-09-05 11:00:21,ML про,1,7475.0,False,1,False,
32,32,2026-08-09 04:36:11,ML старт,1,6490.0,False,1,False,
33,33,2026-08-08 16:26:36,Backend старт | Алгоритмы старт,2,9990.0,True,1,False,
34,34,2026-09-01 17:23:37,Аналитика про,1,8945.0,False,1,False,
35,35,2026-09-02 22:38:59,Backend про,1,4225.0,False,1,False,
36,36,2026-09-09 19:26:20,Алгоритмы | Дискретка | Линейная алгебра | Мат анализ | Теория вероятностей,5,44750.0,True,1,False,
37,37,2026-09-02 04:13:14,Backend про,1,5750.0,False,1,False,
38,38,2026-08-09 12:15:31,Аналитика старт,1,6490.0,False,1,False,
39,39,2026-08-27 17:02:28,Мат анализ,1,9950.0,False,1,False,
40,40,2026-08-09 16:36:02,Аналитика старт,1,6490.0,False,1,False,
41,41,2026-08-12 10:22:39,ML старт,1,6500.0,False,1,False,
42,42,2026-09-06 11:42:46,ML про,1,8450.0,False,1,False,
43,43,2026-09-05 07:16:30,АВ тестам | Аналитика старт,2,12950.0,True,1,False,
44,44,2026-09-06 12:29:18,AI агенты,1,6975.0,False,1,False,
45,45,2026-08-14 10:04:52,Алгоритмы,1,5750.0,False,1,False,
46,46,2026-08-12 05:13:04,К ВУЗу,1,6450.0,False,1,False,
47,47,2026-08-08 12:24:55,ML старт | Алгоритмы старт,2,9990.0,True,1,False,
48,48,2026-09-05 14:24:29,Backend про,1,8950.0,False,1,False,
